N,Case,Algorithm,AvgTime_us,AvgComps
1200,AlmostSorted,MergeLCP,633.414,21476
1200,AlmostSorted,MSDRadix,402.9,0
1200,AlmostSorted,MSDCutoff,125.229,7469
1300,Random,QuickStd,496.3,189921
1300,Random,MergeStd,1167.51,27933
1300,Random,Quick3Way,144.186,13593
1300,Random,MergeLCP,856.971,26167
1300,Random,MSDRadix,336.814,0
1300,Random,MSDCutoff,85.6714,4347
1300,Reversed,QuickStd,482.9,187673
1300,Reversed,MergeStd,858.671,16717
1300,Reversed,Quick3Way,261.629,36832
1300,Reversed,MergeLCP,675.2,13235
1300,Reversed,MSDRadix,423.229,0
1300,Reversed,MSDCutoff,180.1,19707
1300,AlmostSorted,QuickStd,547.929,204064
1300,AlmostSorted,MergeStd,756.829,25387
1300,AlmostSorted,Quick3Way,244.314,30957
1300,AlmostSorted,MergeLCP,643.257,22519
1300,AlmostSorted,MSDRadix,407.3,0
1300,AlmostSorted,MSDCutoff,104.4,7874
1400,Random,QuickStd,543.3,204940
1400,Random,MergeStd,1107.87,30456
1400,Random,Quick3Way,160.271,13899
1400,Random,MergeLCP,1121.44,28652
1400,Random,MSDRadix,365.3,0
1400,Random,MSDCutoff,93.2571,4940
1400,Reversed,QuickStd,459.386,206333
1400,Reversed,MergeStd,937.886,18112
1400,Reversed,Quick3Way,270.971,39614
1400,Reversed,MergeLCP,686.129,14221
1400,Reversed,MSDRadix,501.514,0
1400,Reversed,MSDCutoff,231.686,21390
1400,AlmostSorted,QuickStd,546.371,214724
1400,AlmostSorted,MergeStd,846.757,28066
1400,AlmostSorted,Quick3Way,210.057,26832
1400,AlmostSorted,MergeLCP,745.471,24680
1400,AlmostSorted,MSDRadix,470.229,0
1400,AlmostSorted,MSDCutoff,119.986,8605
1500,Random,QuickStd,612.243,224976
1500,Random,MergeStd,1207.57,33003
1500,Random,Quick3Way,160.843,16124
1500,Random,MergeLCP,953.729,31062
1500,Random,MSDRadix,352.271,0
1500,Random,MSDCutoff,97.9143,5397
1500,Reversed,QuickStd,507.5,229736
1500,Reversed,MergeStd,960.543,19688
1500,Reversed,Quick3Way,324.471,44955
1500,Reversed,MergeLCP,723.2,15148
1500,Reversed,MSDRadix,514.171,0
1500,Reversed,MSDCutoff,210.229,23034
1500,AlmostSorted,QuickStd,586.429,224122
1500,AlmostSorted,MergeStd,1028.54,30539
1500,AlmostSorted,Quick3Way,288,27039
1500,AlmostSorted,MergeLCP,791.214,26925
1500,AlmostSorted,MSDRadix,661.943,0
1500,AlmostSorted,MSDCutoff,161.357,9225
1600,Random,QuickStd,618.571,236562
1600,Random,MergeStd,1341.56,35659
1600,Random,Quick3Way,190.857,17363
1600,Random,MergeLCP,952.557,33687
1600,Random,MSDRadix,455.214,0
1600,Random,MSDCutoff,112.557,6075
1600,Reversed,QuickStd,526.871,238048
1600,Reversed,MergeStd,1053.43,21215
1600,Reversed,Quick3Way,383.2,50390
1600,Reversed,MergeLCP,896.314,16162
1600,Reversed,MSDRadix,559.314,0
